name,city,state,adm_rate,undergrads,cost,compl_4,median_hh_inc,median_earnings
Columbia College-Hollywood,Tarzana,CA,0.8358,326,32663,0.4,66257.22,31700
Dominican University of California,San Rafael,CA,0.7883,1358,58609,0.526,79219.91,51900
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,Los Angeles,CA,0.4926,2814,47380,0.5597,73476,35200
FIDM-Fashion Institute of Design & Merchandising-San Francisco,San Francisco,CA,0.4802,395,43752,0.4286,73476,35200
Fresno Pacific University,Fresno,CA,0.6313,2342,35787,0.4689,53503.12,41000
Harvey Mudd College,Claremont,CA,0.1296,812,66627,0.8551,82806.61,74200
Holy Names University,Oakland,CA,0.43,624,50430,0.2816,72379.02,51100
Humboldt State University,Arcata,CA,0.77,8227,22593,0.1591,57400.36,34700
ITT Technical Institute-National City,National City,CA,0.88,700,27973,1,62789.25,38800
Life Pacific College,San Dimas,CA,0.6384,520,24373,0.1892,65850.07,28700
University of La Verne,La Verne,CA,0.4718,5140,48744,0.4462,67082.29,48900
Laguna College of Art and Design,Laguna Beach,CA,0.3727,571,43806,0.3971,84064.41,31000
Lincoln University,Lincoln University,PA,0.9138,1689,22498,0.2435,50439.72,28900
Lincoln University,Lincoln University,PA,0.9138,1689,22498,0.2435,51404.66,33300
La Sierra University,Riverside,CA,0.4462,2020,41754,0.2329,63313.83,45100
The Master's University and Seminary,Santa Clarita,CA,0.9469,1126,43200,0.5698,71662.94,38600
Loyola Marymount University,Los Angeles,CA,0.5078,6162,58531,0.6968,78631.93,55800
Menlo College,Atherton,CA,0.3808,784,53811,0.3233,80580.15,46400
Mills College,Oakland,CA,0.7156,852,58812,0.5849,71756.45,39600
Mount Saint Mary's University,Los Angeles,CA,0.7653,2767,50301,0.519,59943.9,52000
Musicians Institute,Hollywood,CA,0.8593,1040,39655,0.6316,65487.96,27300
Notre Dame de Namur University,Belmont,CA,0.8667,1097,49312,0.2845,89560.16,54400
Occidental College,Los Angeles,CA,0.4487,1997,64804,0.8229,75275.66,49700
Otis College of Art and Design,Los Angeles,CA,0.9036,1099,54199,0.6491,73811.67,44100
Hope International University,Fullerton,CA,0.3425,843,38462,0.2308,71774.01,35800
Pacific Union College,Angwin,CA,0.4522,1508,40496,0.3034,69255.78,50200
University of the Pacific,Stockton,CA,0.6456,3720,55473,0.4446,72621.06,69300
Pepperdine University,Malibu,CA,0.381,3514,63482,0.7596,79068.51,61100
Pitzer College,Claremont,CA,0.1347,1067,63750,0.8307,75882.08,47100
Point Loma Nazarene University,San Diego,CA,0.7134,2763,45457,0.6341,71269.62,49100
Pomona College,Claremont,CA,0.103,1640,62632,0.9126,76544.99,56600
University of Redlands,Redlands,CA,0.6752,3452,59432,0.6532,68599.2,52100
San Diego State University,San Diego,CA,0.3441,28649,20977,0.3008,68953.33,48300
University of San Diego,San Diego,CA,0.5168,5551,59234,0.6605,79883.39,59300
San Francisco Art Institute,San Francisco,CA,0.6536,404,61915,0.3214,72969.6,32400
San Francisco Conservatory of Music,San Francisco,CA,0.4669,157,56722,0.6111,74879.37,25400
San Francisco State University,San Francisco,CA,0.6788,25867,21559,0.1826,77495.51,48000
University of San Francisco,San Francisco,CA,0.6436,6682,59603,0.6039,82472.56,59900
William Jessup University,Rocklin,CA,0.7605,1093,38526,0.4607,76498.11,35200
San Jose State University,San Jose,CA,0.5522,26670,22046,0.0919,88589.14,53700
Santa Clara University,Santa Clara,CA,0.488,5344,61097,0.7657,93581.09,69600
Scripps College,Claremont,CA,0.279,968,63740,0.8614,79153.99,49700
Simpson University,Redding,CA,0.5152,959,36480,0.3819,55586.54,32800
Saint Mary's College of California,Moraga,CA,0.9754,2916,59167,0.625,84232.87,56600
Sonoma State University,Rohnert Park,CA,0.7655,8589,22932,0.2819,75511.05,45000
Vanguard University of Southern California,Costa Mesa,CA,0.6826,1856,42854,0.4866,75891.29,36800
Southwestern College,Winfield,KS,0.9116,1149,37875,0.3445,56148.58,30400
Southwestern College,Winfield,KS,0.9116,1149,37875,0.3445,58156.66,46200
Southern California Institute of Architecture,Los Angeles,CA,0.7336,255,65657,0,66525.34,44400
University of Southern California,Los Angeles,CA,0.1768,18519,64536,0.7682,76787.41,70400
Thomas Aquinas College,Santa Paula,CA,0.7513,377,35706,0.8046,67656.24,40100
Westmont College,Santa Barbara,CA,0.8122,1296,55570,0.7367,78788.61,49200
Whittier College,Whittier,CA,0.6262,1643,52570,0.6006,73825.46,43100
Woodbury University,Burbank,CA,0.576,1245,46605,0.2015,60713.37,46100
Adams State University,Alamosa,CO,0.6435,2067,20143,0.1054,50726.71,34200
University of Colorado Denver/Anschutz Medical Campus,Denver,CO,0.6742,10855,19389,0.1659,74050.41,53700
University of Colorado Colorado Springs,Colorado Springs,CO,0.9206,9514,18875,0.2386,70639.18,41100
University of Colorado Boulder,Boulder,CO,0.7962,26496,30025,0.4711,81327.65,48100
Colorado College,Colorado Springs,CO,0.1713,2096,60500,0.8232,73737.62,41900
Colorado School of Mines,Golden,CO,0.3767,4532,30990,0.4897,74353.28,82100
Colorado State University-Fort Collins,Fort Collins,CO,0.8082,22727,23137,0.4052,73818.06,45000
University of Denver,Denver,CO,0.7275,5758,56992,0.6664,78120.26,53800
Fort Lewis College,Durango,CO,0.8596,3559,22780,0.1802,61685.3,34300
Colorado Mesa University,Grand Junction,CO,0.8306,8625,18707,0.1537,56304.4,35400
Metropolitan State University of Denver,Denver,CO,0.6522,19649,13871,0.0587,71857.86,38400
Naropa University,Boulder,CO,0.7956,397,45471,0.186,68743.09,21400
University of Northern Colorado,Greeley,CO,0.8935,8915,21135,0.2659,72445.43,40200
Regis University,Denver,CO,0.657,4458,44857,0.561,74280.35,51700
Colorado State University-Pueblo,Pueblo,CO,0.9589,3944,18594,0.1757,54713.6,36000
Western State Colorado University,Gunnison,CO,0.9761,1945,20645,0.1867,68547.81,36200
University of Bridgeport,Bridgeport,CT,0.5177,2897,48586,0.2517,63241.6,42100
Central Connecticut State University,New Britain,CT,0.5867,9693,22229,0.2514,75579.11,46000
Connecticut College,New London,CT,0.3997,1854,62895,0.7908,83703.47,53400
University of Connecticut,Storrs,CT,0.5317,18451,28016,0.6984,80999.86,55800
Eastern Connecticut State University,Willimantic,CT,0.6356,4767,23149,0.4386,76020.15,44200
Fairfield University,Fairfield,CT,0.6497,3863,59016,0.783,93458.99,69800
University of Hartford,West Hartford,CT,0.6351,5028,50380,0.4881,82221.8,45200
Mitchell College,New London,CT,0.737,659,45490,0.3362,79488.12,31300
University of New Haven,West Haven,CT,0.8212,4942,50620,0.4428,77310.15,49400
Post University,Waterbury,CT,0.8113,6170,40860,0.2201,67090.63,39400
Quinnipiac University,Hamden,CT,0.7371,6931,56764,0.7074,87986.1,60600
Sacred Heart University,Fairfield,CT,0.5897,5109,53242,0.5799,87263.76,54300
University of Saint Joseph,West Hartford,CT,0.9268,904,46109,0.4457,74607,48800
Southern Connecticut State University,New Haven,CT,0.646,8106,20104,0.2264,74581.97,42700
Trinity College,Hartford,CT,0.3341,2251,64256,0.8098,81265.21,58800
Wesleyan University,Middletown,CT,0.222,2819,64163,0.9153,82041.21,49200
Western Connecticut State University,Danbury,CT,0.5729,5081,22720,0.2555,85742.06,43300
Yale University,New Haven,CT,0.0673,5528,63970,0.8774,75345.96,83200
Delaware State University,Dover,DE,0.4443,3686,21182,0.2233,60801.87,34300
University of Delaware,Newark,DE,0.6659,18353,24086,0.6525,84189.75,55100
Goldey-Beacom College,Wilmington,DE,0.4419,622,33906,0.3421,70369.91,39700
Wesley College,Dover,DE,0.6255,1496,38227,0.1073,70367.14,44000
American University,Washington,DC,0.3502,7300,58965,0.7623,81657.17,59200
Catholic University of America,Washington,DC,0.7857,3462,56084,0.6162,85196.61,55800
Gallaudet University,Washington,DC,0.6192,989,34298,0.2417,65746.56,29200
George Washington University,Washington,DC,0.4646,10901,63159,0.7555,85677.46,67100
Georgetown University,Washington,DC,0.1724,7168,64540,0.8961,82187.36,90100
Howard University,Washington,DC,0.4904,6796,43116,0.3981,66680.2,46800
Trinity Washington University,Washington,DC,0.9405,1565,32002,0.1975,60221.46,36600
The Baptist College of Florida,Graceville,FL,0.5217,457,16781,0.4444,50305.97,32100
Barry University,Miami,FL,0.5506,3703,44435,0.1574,58621.88,44300
Lynn University,Boca Raton,FL,0.7597,1957,49914,0.3713,78627.36,38400
Carlos Albizu University-Miami,Miami,FL,0.72,202,28349,0.25,45249.81,30700
Johnson University Florida,Kissimmee,FL,0.3919,201,22297,0.2727,59004.31,29400
University of Central Florida,Orlando,FL,0.4857,54091,19911,0.4046,62518.63,43300
Eckerd College,Saint Petersburg,FL,0.7172,2002,53423,0.5972,68211.73,41200
Edward Waters College,Jacksonville,FL,0.5371,930,23787,0.0909,47937.99,23300
Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,0.6895,5247,47582,0.3129,66671.2,62400
Florida Agricultural and Mechanical University,Tallahassee,FL,0.5141,7705,19413,0.1137,52786.24,35800
Florida Atlantic University,Boca Raton,FL,0.6768,24228,18805,0.199,63066.25,41500
Flagler College-St Augustine,Saint Augustine,FL,0.5048,2691,29370,0.4982,63843.09,36700
Florida College,Temple Terrace,FL,0.8114,548,27669,0.0785,63903.31,35700
Adventist University of Health Sciences,Orlando,FL,0.6032,1704,22019,0.1538,60028.37,51400
Florida Institute of Technology,Melbourne,FL,0.5736,3320,53942,0.4126,68086.59,61200
Florida International University,Miami,FL,0.504,40208,18727,0.2811,58110.89,44200
Florida Memorial University,Miami Gardens,FL,0.2435,1399,24876,0.1303,48349.61,25900
Florida Southern College,Lakeland,FL,0.4533,2519,42822,0.4614,60789.21,39300
Florida State University,Tallahassee,FL,0.559,32229,21463,0.616,60914.47,44900
University of Florida,Gainesville,FL,0.4754,32376,20467,0.6635,60120.16,53100
Jacksonville University,Jacksonville,FL,0.5351,2964,48032,0.2812,63671.93,45600
Luther Rice College & Seminary,Lithonia,GA,1,409,10776,0,65125.89,42500
University of Miami,Coral Gables,FL,0.3779,10768,61666,0.6816,71124,57800
University of North Florida,Jacksonville,FL,0.566,13562,20616,0.2647,62628.24,42100
Nova Southeastern University,Fort Lauderdale,FL,0.5924,4565,41965,0.3105,62876.89,44200
Palm Beach Atlantic University,West Palm Beach,FL,0.9289,2587,39604,0.3359,64221.06,39400
Ringling College of Art and Design,Sarasota,FL,0.7654,1258,56665,0.6426,70285.4,33500
Rollins College,Winter Park,FL,0.6038,2678,59741,0.6444,69363.5,43700
Saint Leo University,Saint Leo,FL,0.7252,11575,34738,0.3113,58178.62,42800
University of South Florida-Main Campus,Tampa,FL,0.4464,30282,19578,0.4272,58397.57,41800
St Thomas University,Miami Gardens,FL,0.4892,882,36230,0.2716,56846.82,45600
Stetson University,DeLand,FL,0.6347,3042,54404,0.5717,64417.32,40500
Southeastern University,Lakeland,FL,0.4648,3412,34123,0.2194,60101.07,33200
The University of Tampa,Tampa,FL,0.5074,7061,39661,0.4713,71934.52,45800
Trinity Baptist College,Jacksonville,FL,0.8634,350,18017,0.25,58249.91,28200
Trinity College of Florida,Trinity,FL,0.7368,203,26198,0.0968,55309.46,28100
Warner University,Lake Wales,FL,0.512,1026,30422,0.2727,52491.75,39200
Webber International University,Babson Park,FL,0.5264,681,37768,0.2706,55372.47,33000
The University of West Florida,Pensacola,FL,0.4154,9783,17802,0.2712,54753.42,36600
Abraham Baldwin Agricultural College,Tifton,GA,0.7731,3193,12988,0.0323,46480.92,31500
Agnes Scott College,Decatur,GA,0.6174,846,48109,0.6134,69580.95,36500
Albany State University,Albany,GA,0.6371,2949,18877,0.0886,52181.09,31500
Armstrong State University,Savannah,GA,0.7395,6184,24729,0.1142,56704.76,38200
Point University,West Point,GA,0.4907,1337,27878,0.3878,69033.68,32800
Clark Atlanta University,Atlanta,GA,0.512,2741,37061,0.2603,60451.55,34800
Berry College,Mount Berry,GA,0.5537,2089,43910,0.5536,70464.52,38600
Brenau University,Gainesville,GA,0.6562,1556,37739,0.239,67048.19,40700
College of Coastal Georgia,Brunswick,GA,0.9499,2890,17353,0.1176,50342.2,28400
Clayton  State University,Morrow,GA,0.3857,5920,17197,0.1404,65444.71,37600
Columbus State University,Columbus,GA,0.5569,6743,17482,0.1135,55979.92,34600
Covenant College,Lookout Mountain,GA,0.9398,1007,41320,0.5018,63670.68,39100
Emmanuel College,Franklin Springs,GA,0.3388,763,26457,0.2201,50422.48,29800
Emmanuel College,Franklin Springs,GA,0.3388,763,26457,0.2201,75156.98,47400
Emmanuel College,Boston,MA,0.7841,1865,52018,0.5556,50422.48,29800
Emmanuel College,Boston,MA,0.7841,1865,52018,0.5556,75156.98,47400
Emory University,Atlanta,GA,0.2367,6770,61344,0.8291,80509.92,61500
Fort Valley State University,Fort Valley,GA,0.2051,2220,21341,0.1199,53364.82,28200
Georgia Institute of Technology-Main Campus,Atlanta,GA,0.3217,14463,24629,0.4009,77933.64,75800
Georgia Southwestern State University,Americus,GA,0.7164,2301,19012,0.1126,49591.36,34700
Georgia College and State University,Milledgeville,GA,0.7566,5933,24478,0.3947,68382.02,39300
Georgia Southern University,Statesboro,GA,0.6023,17173,22424,0.2447,62772.56,40300
Georgia State University,Atlanta,GA,0.5665,24421,23631,0.239,72190.32,41200
University of Georgia,Athens,GA,0.5288,27335,22536,0.6163,71225.06,48500
LaGrange College,Lagrange,GA,0.5725,905,40225,0.4061,61341.56,40200
Life University,Marietta,GA,0.588,721,29246,0.098,67303.03,35400
Herzing University-Atlanta,Atlanta,GA,0.8538,439,27029,0.102,57868.59,40300
Mercer University,Macon,GA,0.6688,4556,48016,0.4682,67164.94,46700
Morehouse College,Atlanta,GA,0.7596,2163,47192,0.4063,61675.05,42500
Oglethorpe University,Atlanta,GA,0.7847,1140,46409,0.4335,73815.08,40700
Paine College,Augusta,GA,0.3063,551,23666,0.0584,51038.61,26700
Piedmont College,Demorest,GA,0.57,1284,32927,0.3723,58219.12,39300
Reinhardt University,Waleska,GA,0.9076,1238,32620,0.2117,75577.26,36300
Savannah College of Art and Design,Savannah,GA,0.6991,9421,51994,0.5162,71588.69,35300
Savannah State University,Savannah,GA,0.8264,4519,16684,0.0785,54220.88,31000
Shorter University,Rome,GA,0.6289,1345,32357,0.3153,65365.08,44200
Spelman College,Atlanta,GA,0.4833,2142,43662,0.6927,63157.84,46800
Thomas University,Thomasville,GA,0.4321,745,25553,0.15,45124.61,34900
Toccoa Falls College,Toccoa Falls,GA,0.4545,773,32386,0.3533,59357.86,26600
Truett McConnell University,Cleveland,GA,0.9113,752,28589,0.2588,62186.38,31500
Valdosta State University,Valdosta,GA,0.5043,8692,19697,0.1519,57353.47,36800
University of West Georgia,Carrollton,GA,0.5688,10309,21143,0.1559,66454.08,37200
Young Harris College,Young Harris,GA,0.522,1166,38313,0.5294,65588.3,37100
Chaminade University of Honolulu,Honolulu,HI,0.8203,1773,33350,0.2786,72476.63,38900
University of Hawaii at Hilo,Hilo,HI,0.7125,3124,17349,0.1174,59308.27,34500
University of Hawaii at Manoa,Honolulu,HI,0.8142,13320,21177,0.2122,71646.27,43600
Hawaii Pacific University,Honolulu,HI,0.913,3940,35162,0.2181,72804.49,44900
University of Hawaii-West Oahu,Kapolei,HI,0.7016,2517,12717,0.0976,74812.42,40000
Boise Bible College,Boise,ID,0.9815,143,26281,0.24,55318.91,28400
Boise State University,Boise,ID,0.7957,15959,17670,0.1548,58298.66,36100
University of Idaho,Moscow,ID,0.7205,7826,19418,0.2919,54125.14,41000
The College of Idaho,Caldwell,ID,0.9037,1034,36579,0.5505,57741.96,39300
Lewis-Clark State College,Lewiston,ID,0.9888,3013,19509,0.0845,49266.88,33800
Northwest Nazarene University,Nampa,ID,0.5626,1286,36596,0.3612,59470.41,36200
Brigham Young University-Idaho,Rexburg,ID,0.9959,28457,11676,0.1873,58959.59,39900
School of the Art Institute of Chicago,Chicago,IL,0.6648,2843,57674,0.3814,72806.39,32100
Augustana College,Rock Island,IL,0.4934,2454,48584,0.7045,77348.81,48500
Aurora University,Aurora,IL,0.7724,3567,32529,0.4639,77796.79,40000
Blackburn College,Carlinville,IL,0.5547,579,27262,0.3151,56165.33,37600
Bradley University,Peoria,IL,0.6568,4436,43630,0.5289,74072.54,51200
Chicago State University,Chicago,IL,0.2118,3437,20305,0.0221,51518.57,34300
University of Chicago,Chicago,IL,0.0838,5869,67572,0.8561,74573.19,65500
Columbia College Chicago,Chicago,IL,0.8806,8492,40012,0.2949,72555.55,33400
Concordia University-Chicago,River Forest,IL,0.5031,1447,37972,0.4652,68556.46,39000
DePaul University,Chicago,IL,0.7198,15683,49332,0.5648,76598.6,51000
Eastern Illinois University,Charleston,IL,0.5021,7063,23656,0.3177,66452.23,40100
Elmhurst College,Elmhurst,IL,0.5478,2752,44473,0.5428,80672.5,47300
Eureka College,Eureka,IL,0.6237,685,29515,0.3846,63161.33,34000
Greenville College,Greenville,IL,0.5629,1042,35664,0.4506,58941.13,36300
Hebrew Theological College,Skokie,IL,0.9677,476,36612,0.1066,62643.23,21400
University of Illinois at Chicago,Chicago,IL,0.7665,17368,25046,0.3378,71955.13,52200
University of Illinois at Urbana-Champaign,Champaign,IL,0.6556,32170,29568,0.7097,77278.04,57600
Illinois Wesleyan University,Bloomington,IL,0.6191,1834,52548,0.7834,81071.43,55600
Illinois College,Jacksonville,IL,0.6051,942,40405,0.6205,59338.79,39900
Illinois Institute of Technology,Chicago,IL,0.5271,2923,53585,0.3794,74075.49,69800
Illinois State University,Normal,IL,0.8772,18343,27018,0.4778,74746.5,45500
Judson University,Elgin,IL,0.706,1076,39062,0.4043,75944.27,41400
Kendall College,Chicago,IL,0.7443,1232,35055,0.1348,70964.74,37900
Knox College,Galesburg,IL,0.638,1377,50974,0.6899,71884.68,38200
Lake Forest College,Lake Forest,IL,0.55,1559,53118,0.6554,84677.74,49000
Lewis University,Romeoville,IL,0.6184,4529,36962,0.4479,79812.86,47300
Lincoln Christian University,Lincoln,IL,0.596,506,28363,0.3016,60672.01,29900
Lincoln College,Lincoln,IL,0.516,1118,29624,0.1053,67725.68,29700
Loyola University Chicago,Chicago,IL,0.7126,10276,50954,0.6373,76055.22,52000
MacMurray College,Jacksonville,IL,0.6267,569,32851,0.1979,57876.41,36300
McKendree University,Lebanon,IL,0.635,2292,38810,0.3344,58622.67,45800
Midstate College,Peoria,IL,1,452,28561,0,54192.72,25400
Millikin University,Decatur,IL,0.6,2012,40764,0.4787,63904.96,42200
Monmouth College,Monmouth,IL,0.624,1173,43686,0.4841,66145.51,39900
North Central College,Naperville,IL,0.5716,2633,45282,0.5258,86906.76,45000
North Park University,Chicago,IL,0.4945,2139,32702,0.3407,70754.04,42400
Northern Illinois University,Dekalb,IL,0.5035,14952,27837,0.2523,75712.57,43900
Northwestern University,Evanston,IL,0.1304,8576,65436,0.8242,81811.63,65900
Northeastern Illinois University,Chicago,IL,0.6704,7979,22519,0.0502,61978.62,36700
Olivet Nazarene University,Bourbonnais,IL,0.7658,3389,42667,0.5123,66225.19,38300
Quincy University,Quincy,IL,0.6336,1065,38543,0.3266,58100.78,37800
Robert Morris University Illinois,Chicago,IL,0.2447,2681,32815,0.6576,61109.18,31300
Rockford University,Rockford,IL,0.5382,1033,38033,0.2472,64497.21,43100
Roosevelt University,Chicago,IL,0.7228,3197,40660,0.2526,70632.13,42700
Dominican University,River Forest,IL,0.6277,2241,38405,0.4765,69994.18,45600
University of St Francis,Joliet,IL,0.5053,1642,37824,0.4126,76865.85,47600
Saint Xavier University,Chicago,IL,0.7467,2966,37874,0.2991,69054.28,44400
University of Illinois at Springfield,Springfield,IL,0.6312,2857,24319,0.3415,58971.81,43000
Southern Illinois University-Carbondale,Carbondale,IL,0.8064,12858,25692,0.2615,59313.76,41800
